Restaurant name,Neighborhood,Borough,Median Household Income,Neighborhood Latitude,Neighborhood Longitude,Pop./km2,Competitors,Venue Category,Venue Latitude,Venue Longitude
Burger King_914,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Burger King,Fast Food Restaurant,40.6021572477629,-73.99456393788559
Charisma Bay_915,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Charisma Bay,Chinese Restaurant,40.60206481365874,-73.99432670891167
Happy Seafood Restaurant_916,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Happy Seafood Restaurant,Chinese Restaurant,40.602504639789174,-73.99505289699077
Wendy's_917,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Wendy's,Fast Food Restaurant,40.59547534081079,-74.00020211935043
Cafe Avat_918,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Cafe Avat,Middle Eastern Restaurant,40.59893170738295,-73.99783518413365
zaiqa restaurant_919,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,zaiqa restaurant,Pakistani Restaurant,40.600949,-74.000679
Kagetsu_920,Bath Beach,Brooklyn,55193.0,40.59951870282239,-73.99875221443519,16909.0,Kagetsu,Sushi Restaurant,40.60114802315628,-74.0011808183571
Dig Inn_921,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Dig Inn,American Restaurant,40.7128350959751,-74.01601257019108
Parm_922,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Parm,Italian Restaurant,40.714513918016635,-74.01626377138824
Blue Ribbon Sushi Bar_923,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Blue Ribbon Sushi Bar,Sushi Restaurant,40.71274171124088,-74.01606481577463
El Vez_924,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,El Vez,Mexican Restaurant,40.714729999999996,-74.01563
Seamore’s_925,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Seamore’s,Seafood Restaurant,40.71424164376645,-74.01508537789735
Osteria della Pace_926,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Osteria della Pace,Italian Restaurant,40.7105541734127,-74.01251945667114
Atrio New York_927,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Atrio New York,Mediterranean Restaurant,40.71502538769156,-74.01591428450142
Vino e Grano_928,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Vino e Grano,Italian Restaurant,40.70995346469388,-74.01157403815107
Ningbo Cafe_929,Battery Park City,Manhattan,125434.0,40.71193198394565,-74.01686930508617,7735.0,Ningbo Cafe,Chinese Restaurant,40.70794582988142,-74.01832186970051
Georgian Dream Cafe and Bakery_930,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Georgian Dream Cafe and Bakery,Caucasian Restaurant,40.625586,-74.03019599999999
Karam_931,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Karam,Middle Eastern Restaurant,40.62293134278153,-74.02831552630434
Blue Door Souvlakia_932,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Blue Door Souvlakia,Greek Restaurant,40.624567,-74.030311
Tuscany Grill_933,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Tuscany Grill,Italian Restaurant,40.622913260296976,-74.03138652017468
Areo Ristorante_934,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Areo Ristorante,Italian Restaurant,40.62441504357729,-74.03078200570985
Elia Restaurant_935,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Elia Restaurant,Greek Restaurant,40.62309044402409,-74.03115569866006
XIN_936,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,XIN,Chinese Restaurant,40.62508203621133,-74.0304936920825
Greenhouse Cafe_937,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Greenhouse Cafe,American Restaurant,40.629541528357635,-74.02851357046863
Sofia Restorante Italiano_938,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Sofia Restorante Italiano,Italian Restaurant,40.62484745920055,-74.03052232818622
Lobo Loco_939,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Lobo Loco,Mexican Restaurant,40.62356257001225,-74.03104678221119
Chadwick's Restaurant_940,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Chadwick's Restaurant,American Restaurant,40.62144962336431,-74.03196395076445
Zio Toto_941,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Zio Toto,Italian Restaurant,40.62479085034183,-74.03055087900958
Cebu' Bar & Bistro_942,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Cebu' Bar & Bistro,New American Restaurant,40.62181234249646,-74.03172698590136
Inaka_943,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Inaka,Sushi Restaurant,40.625140559775616,-74.03041782134507
Bombay Grill_944,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Bombay Grill,Indian Restaurant,40.622330996559505,-74.0315608872427
86 Noodles_945,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,86 Noodles,Chinese Restaurant,40.622572519884045,-74.02842260569763
Plaka Taverna_946,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Plaka Taverna,Greek Restaurant,40.62248624337034,-74.02846542169956
Top Thai_947,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Top Thai,Thai Restaurant,40.62323607887372,-74.02817264059681
Pho Hoai Bay Ridge_948,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Pho Hoai Bay Ridge,Vietnamese Restaurant,40.62237907678971,-74.02855610991112
Omiya_949,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Omiya,Sushi Restaurant,40.622329157515146,-74.0285755037456
Giacomo's Wood Fired Pizza & Trattoria_950,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Giacomo's Wood Fired Pizza & Trattoria,Italian Restaurant,40.62853486510589,-74.02905124266296
The Pearl Room_951,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,The Pearl Room,Seafood Restaurant,40.62393563143695,-74.03097905585744
Kathy's Dumplings_952,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Kathy's Dumplings,Dim Sum Restaurant,40.627893600787424,-74.02927534109664
My Thai Restaurant_953,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,My Thai Restaurant,Thai Restaurant,40.62916001953864,-74.02868914475026
Beebo Seaford Restaurant_954,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Beebo Seaford Restaurant,Seafood Restaurant,40.623873964801376,-74.03102581807131
Taco Bell_955,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Taco Bell,Fast Food Restaurant,40.62191824000764,-74.02853373126436
Cappuccino Cafe_956,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Cappuccino Cafe,American Restaurant,40.62951041286022,-74.02853892492205
